"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",769,530,7.3756355658343
"2","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",981,777,324.462940873068
"3","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",467,452,308.734189878607
"4","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",545,719,285.804478621312
"5","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",359,820,495.045856461803
"6","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",1185,490,423.263511302356
"7","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",720,819,286.826079706849
"8","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",765,306,229.601393723993
"9","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",1067,599,309.366126135361
"10","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",646,501,123.160058460525
"11","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",849,468,108.447222186647
"12","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",610,327,259.406245106011
"13","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",348,353,454.49444441049
"14","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",1217,258,531.121078474579
"15","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","purple","Vertical",935,615,188.353391262276
"16","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1486,472,183.003448662101
"17","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1221,624,143.828818005603
"18","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1572,265,360.108033172763
"19","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1596,551,292.442921306402
"20","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1103,196,372.981941773176
"21","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",964,166,484.462446658379
"22","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1498,743,302.678590073512
"23","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",817,858,601.620308463366
"24","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1613,442,313.461207949068
"25","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1236,388,139.663866320375
"26","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1339,266,244.613018641463
"27","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1226,837,338.291682165291
"28","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1614,668,346.272525941955
"29","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",914,274,457.342026156452
"30","image63_15_purple_Vertical_h_15_white_Horizontal_h.png","white","Horizontal",1401,877,380.415030664609
