"","Image_Name","Color","Shape","X","Y","Distance_From_Center"
"1","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",700,862,327.872278656051
"2","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",609,297,318.180396071858
"3","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",771,490,67.5901702254929
"4","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",865,257,300.041493426789
"5","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",959,625,174.240727475269
"6","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",700,221,344.585399832578
"7","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",989,474,202.324898231642
"8","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",957,888,371.770042424675
"9","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",428,706,404.758979037045
"10","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",1094,673,317.113908731722
"11","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",1237,711,464.121066581172
"12","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",718,683,156.866496670824
"13","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",1075,180,460.266188682641
"14","image9_15_blue_T_nh_15_red_0_nh.png","blue","T",586,551,215.601247161926
"15","image9_15_blue_T_nh_15_red_0_nh.png","blue","0",336,636,473.427464818471
"16","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1145,881,327.131641867783
"17","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1345,566,69.5517393344296
"18","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1467,629,195.516182905093
"19","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1210,611,73.3310605708416
"20","image9_15_blue_T_nh_15_red_0_nh.png","red","0",998,357,358.503711432826
"21","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1212,437,158.829398342302
"22","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1376,823,260.625614840735
"23","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1252,911,330.168206289528
"24","image9_15_blue_T_nh_15_red_0_nh.png","red","0",871,781,452.474578782548
"25","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1362,441,164.33008786518
"26","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1423,272,342.365658973625
"27","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1106,402,248.314943390669
"28","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1219,326,262.352138250185
"29","image9_15_blue_T_nh_15_red_0_nh.png","red","0",1609,754,373.764423727626
"30","image9_15_blue_T_nh_15_red_0_nh.png","red","T",1564,536,290.368118849926
